Year,Enrolling District Number,Enrolling District Type,Enrolling District,Count of Open Enrolled,Resident District Number,Resident District Type,Resident District
23-24,1,3,Minneapolis Public School District,2,833,1,South Washington County Schools
23-24,1,3,Minneapolis Public School District,1,2859,1,Glencoe-Silver Lake School District
23-24,2,1,Hill City Public School District,3,1,1,Aitkin Public School District
23-24,2,1,Hill City Public School District,3,4,1,McGregor Public School District
23-24,2,1,Hill City Public School District,1,31,1,Bemidji Public School District
23-24,2,1,Hill City Public School District,2,118,1,Northland Community Schools
23-24,2,1,Hill City Public School District,1,316,1,Greenway Public School District
23-24,2,1,Hill City Public School District,4,317,1,Deer River Public School District
23-24,2,1,Hill City Public School District,47,318,1,Grand Rapids Public School District
23-24,4,1,McGregor Public School District,10,1,1,Aitkin Public School District
23-24,4,1,McGregor Public School District,4,95,1,Cromwell-Wright Public Schools
23-24,4,1,McGregor Public School District,1,182,1,Crosby-Ironton Public School District
23-24,4,1,McGregor Public School District,2,473,1,Isle Public School District
23-24,6,3,South St. Paul Public School District,9,1,3,Minneapolis Public School District
23-24,6,3,South St. Paul Public School District,3,191,1,Burnsville-Eagan-Savage School District
23-24,6,3,South St. Paul Public School District,2,192,1,Farmington Public School District
23-24,6,3,South St. Paul Public School District,1,194,1,Lakeville Area Schools
23-24,6,3,South St. Paul Public School District,15,196,1,Rosemount-Apple Valley-Eagan
23-24,6,3,South St. Paul Public School District,60,197,1,West St. Paul-Mendota Heights-Eagan
23-24,6,3,South St. Paul Public School District,174,199,1,Inver Grove Heights Schools
23-24,6,3,South St. Paul Public School District,7,200,1,Hastings Public School District
23-24,6,3,South St. Paul Public School District,1,241,1,Albert Lea Public School District
23-24,6,3,South St. Paul Public School District,4,279,1,Osseo Public School District
23-24,6,3,South St. Paul Public School District,1,280,1,Richfield Public School District
23-24,6,3,South St. Paul Public School District,2,621,1,Mounds View Public School District
23-24,6,3,South St. Paul Public School District,14,622,1,North St. Paul-Maplewood Oakdale Public School District
23-24,6,3,South St. Paul Public School District,1,623,1,Roseville Public School District
23-24,6,3,South St. Paul Public School District,2,624,1,White Bear Lake School District
23-24,6,3,South St. Paul Public School District,146,625,1,Saint Paul Public Schools
23-24,6,3,South St. Paul Public School District,54,833,1,South Washington County Schools
23-24,6,3,South St. Paul Public School District,3,834,1,Stillwater Area Public Schools
23-24,11,1,Anoka-Hennepin Public School District,29,1,3,Minneapolis Public School District
23-24,11,1,Anoka-Hennepin Public School District,14,12,1,Centennial Public School District
23-24,11,1,Anoka-Hennepin Public School District,6,13,1,Columbia Heights Public School District
23-24,11,1,Anoka-Hennepin Public School District,52,14,1,Fridley Public School District
23-24,11,1,Anoka-Hennepin Public School District,316,15,1,St. Francis Area Schools
23-24,11,1,Anoka-Hennepin Public School District,101,16,1,Spring Lake Park Public Schools
23-24,11,1,Anoka-Hennepin Public School District,1,112,1,Eastern Carver County Public Schools
23-24,11,1,Anoka-Hennepin Public School District,3,138,1,North Branch Area Public Schools
23-24,11,1,Anoka-Hennepin Public School District,1,194,1,Lakeville Area Schools
23-24,11,1,Anoka-Hennepin Public School District,2,270,1,Hopkins Public School District
23-24,11,1,Anoka-Hennepin Public School District,2,276,1,Minnetonka Public School District
23-24,11,1,Anoka-Hennepin Public School District,756,279,1,Osseo Public School District
23-24,11,1,Anoka-Hennepin Public School District,29,281,1,Robbinsdale Public School District
23-24,11,1,Anoka-Hennepin Public School District,3,283,1,St. Louis Park Public School District
23-24,11,1,Anoka-Hennepin Public School District,4,284,1,Wayzata Public School District
23-24,11,1,Anoka-Hennepin Public School District,42,286,1,Brooklyn Center Community Schools
23-24,11,1,Anoka-Hennepin Public School District,1,314,1,Braham Public School District
23-24,11,1,Anoka-Hennepin Public School District,1,333,1,Ogilvie Public School District
23-24,11,1,Anoka-Hennepin Public School District,2,477,1,Princeton Public School District
23-24,11,1,Anoka-Hennepin Public School District,9,621,1,Mounds View Public School District
23-24,11,1,Anoka-Hennepin Public School District,2,622,1,North St. Paul-Maplewood Oakdale Public School District
23-24,11,1,Anoka-Hennepin Public School District,2,623,1,Roseville Public School District
23-24,11,1,Anoka-Hennepin Public School District,6,624,1,White Bear Lake School District
23-24,11,1,Anoka-Hennepin Public School District,4,625,1,Saint Paul Public Schools
23-24,11,1,Anoka-Hennepin Public School District,7,727,1,Big Lake Public School District
23-24,11,1,Anoka-Hennepin Public School District,89,728,1,Elk River Public School District
23-24,11,1,Anoka-Hennepin Public School District,1,742,1,St. Cloud Public School District
23-24,11,1,Anoka-Hennepin Public School District,25,831,1,Forest Lake Public School District
23-24,11,1,Anoka-Hennepin Public School District,1,882,1,Monticello Public School District
23-24,11,1,Anoka-Hennepin Public School District,7,885,1,St. Michael-Albertville School District
23-24,11,1,Anoka-Hennepin Public School District,24,911,1,Cambridge-Isanti Public School District
23-24,11,1,Anoka-Hennepin Public School District,4,2144,1,Chisago Lakes School District
23-24,11,1,Anoka-Hennepin Public School District,1,2902,1,RTR Public Schools
23-24,12,1,Centennial Public School District,1,1,3,Minneapolis Public School District
23-24,12,1,Centennial Public School District,367,11,1,Anoka-Hennepin Public School District
23-24,12,1,Centennial Public School District,4,13,1,Columbia Heights Public School District
23-24,12,1,Centennial Public School District,13,14,1,Fridley Public School District
23-24,12,1,Centennial Public School District,16,15,1,St. Francis Area Schools
23-24,12,1,Centennial Public School District,263,16,1,Spring Lake Park Public Schools
23-24,12,1,Centennial Public School District,2,113,1,Walker-Hackensack-Akeley School District
23-24,12,1,Centennial Public School District,7,138,1,North Branch Area Public Schools
23-24,12,1,Centennial Public School District,1,139,1,Rush City Public School District
23-24,12,1,Centennial Public School District,1,194,1,Lakeville Area Schools
23-24,12,1,Centennial Public School District,4,279,1,Osseo Public School District
23-24,12,1,Centennial Public School District,2,281,1,Robbinsdale Public School District
23-24,12,1,Centennial Public School District,4,282,1,St. Anthony-New Brighton Schools
23-24,12,1,Centennial Public School District,55,621,1,Mounds View Public School District
23-24,12,1,Centennial Public School District,1,622,1,North St. Paul-Maplewood Oakdale Public School District
23-24,12,1,Centennial Public School District,1,623,1,Roseville Public School District
23-24,12,1,Centennial Public School District,152,624,1,White Bear Lake School District
23-24,12,1,Centennial Public School District,4,625,1,Saint Paul Public Schools
23-24,12,1,Centennial Public School District,2,728,1,Elk River Public School District
23-24,12,1,Centennial Public School District,466,831,1,Forest Lake Public School District
23-24,12,1,Centennial Public School District,2,832,1,Mahtomedi Public School District
23-24,12,1,Centennial Public School District,1,834,1,Stillwater Area Public Schools
23-24,12,1,Centennial Public School District,1,877,1,Buffalo-Hanover-Montrose Schools
23-24,12,1,Centennial Public School District,1,885,1,St. Michael-Albertville School District
23-24,12,1,Centennial Public School District,5,911,1,Cambridge-Isanti Public School District
23-24,12,1,Centennial Public School District,5,2144,1,Chisago Lakes School District
23-24,13,1,Columbia Heights Public School District,637,1,3,Minneapolis Public School District
23-24,13,1,Columbia Heights Public School District,35,11,1,Anoka-Hennepin Public School District
23-24,13,1,Columbia Heights Public School District,78,14,1,Fridley Public School District
23-24,13,1,Columbia Heights Public School District,1,15,1,St. Francis Area Schools
23-24,13,1,Columbia Heights Public School District,41,16,1,Spring Lake Park Public Schools
23-24,13,1,Columbia Heights Public School District,1,194,1,Lakeville Area Schools
23-24,13,1,Columbia Heights Public School District,1,270,1,Hopkins Public School District
23-24,13,1,Columbia Heights Public School District,30,279,1,Osseo Public School District
23-24,13,1,Columbia Heights Public School District,19,281,1,Robbinsdale Public School District
23-24,13,1,Columbia Heights Public School District,22,282,1,St. Anthony-New Brighton Schools
23-24,13,1,Columbia Heights Public School District,2,284,1,Wayzata Public School District
23-24,13,1,Columbia Heights Public School District,22,286,1,Brooklyn Center Community Schools
23-24,13,1,Columbia Heights Public School District,34,621,1,Mounds View Public School District
23-24,13,1,Columbia Heights Public School District,2,622,1,North St. Paul-Maplewood Oakdale Public School District
23-24,13,1,Columbia Heights Public School District,6,623,1,Roseville Public School District
23-24,13,1,Columbia Heights Public School District,1,624,1,White Bear Lake School District
23-24,13,1,Columbia Heights Public School District,5,625,1,Saint Paul Public Schools
23-24,13,1,Columbia Heights Public School District,1,911,1,Cambridge-Isanti Public School District
23-24,14,1,Fridley Public School District,158,1,3,Minneapolis Public School District
23-24,14,1,Fridley Public School District,207,11,1,Anoka-Hennepin Public School District
23-24,14,1,Fridley Public School District,9,12,1,Centennial Public School District
23-24,14,1,Fridley Public School District,224,13,1,Columbia Heights Public School District
23-24,14,1,Fridley Public School District,55,16,1,Spring Lake Park Public Schools
23-24,14,1,Fridley Public School District,1,191,1,Burnsville-Eagan-Savage School District
23-24,14,1,Fridley Public School District,1,194,1,Lakeville Area Schools
23-24,14,1,Fridley Public School District,2,270,1,Hopkins Public School District
23-24,14,1,Fridley Public School District,138,279,1,Osseo Public School District
23-24,14,1,Fridley Public School District,16,281,1,Robbinsdale Public School District
23-24,14,1,Fridley Public School District,6,282,1,St. Anthony-New Brighton Schools
23-24,14,1,Fridley Public School District,70,286,1,Brooklyn Center Community Schools
23-24,14,1,Fridley Public School District,20,621,1,Mounds View Public School District
23-24,14,1,Fridley Public School District,1,622,1,North St. Paul-Maplewood Oakdale Public School District
23-24,14,1,Fridley Public School District,2,623,1,Roseville Public School District
23-24,14,1,Fridley Public School District,4,625,1,Saint Paul Public Schools
23-24,14,1,Fridley Public School District,1,717,1,Jordan Public School District
23-24,14,1,Fridley Public School District,1,834,1,Stillwater Area Public Schools
23-24,14,1,Fridley Public School District,1,2754,1,Cedar Mountain School District
23-24,15,1,St. Francis Area Schools,54,11,1,Anoka-Hennepin Public School District
23-24,15,1,St. Francis Area Schools,1,12,1,Centennial Public School District
23-24,15,1,St. Francis Area Schools,1,13,1,Columbia Heights Public School District
23-24,15,1,St. Francis Area Schools,2,138,1,North Branch Area Public Schools
23-24,15,1,St. Francis Area Schools,3,279,1,Osseo Public School District
23-24,15,1,St. Francis Area Schools,1,314,1,Braham Public School District
23-24,15,1,St. Francis Area Schools,2,333,1,Ogilvie Public School District
23-24,15,1,St. Francis Area Schools,14,477,1,Princeton Public School District
23-24,15,1,St. Francis Area Schools,1,621,1,Mounds View Public School District
23-24,15,1,St. Francis Area Schools,1,700,1,Hermantown Community Schools
23-24,15,1,St. Francis Area Schools,22,728,1,Elk River Public School District
23-24,15,1,St. Francis Area Schools,8,831,1,Forest Lake Public School District
23-24,15,1,St. Francis Area Schools,2,834,1,Stillwater Area Public Schools
23-24,15,1,St. Francis Area Schools,1,877,1,Buffalo-Hanover-Montrose Schools
23-24,15,1,St. Francis Area Schools,1,885,1,St. Michael-Albertville School District
23-24,15,1,St. Francis Area Schools,58,911,1,Cambridge-Isanti Public School District
23-24,15,1,St. Francis Area Schools,1,2144,1,Chisago Lakes School District
23-24,15,1,St. Francis Area Schools,1,2711,1,Mesabi East School District
23-24,16,1,Spring Lake Park Public Schools,51,1,3,Minneapolis Public School District
23-24,16,1,Spring Lake Park Public Schools,819,11,1,Anoka-Hennepin Public School District
23-24,16,1,Spring Lake Park Public Schools,57,12,1,Centennial Public School District
23-24,16,1,Spring Lake Park Public Schools,115,13,1,Columbia Heights Public School District
23-24,16,1,Spring Lake Park Public Schools,243,14,1,Fridley Public School District
23-24,16,1,Spring Lake Park Public Schools,35,15,1,St. Francis Area Schools
23-24,16,1,Spring Lake Park Public Schools,1,270,1,Hopkins Public School District
23-24,16,1,Spring Lake Park Public Schools,3,271,1,Bloomington Public School District
23-24,16,1,Spring Lake Park Public Schools,64,279,1,Osseo Public School District
23-24,16,1,Spring Lake Park Public Schools,19,281,1,Robbinsdale Public School District
23-24,16,1,Spring Lake Park Public Schools,2,282,1,St. Anthony-New Brighton Schools
23-24,16,1,Spring Lake Park Public Schools,2,283,1,St. Louis Park Public School District
23-24,16,1,Spring Lake Park Public Schools,11,286,1,Brooklyn Center Community Schools
23-24,16,1,Spring Lake Park Public Schools,114,621,1,Mounds View Public School District
23-24,16,1,Spring Lake Park Public Schools,1,622,1,North St. Paul-Maplewood Oakdale Public School District
23-24,16,1,Spring Lake Park Public Schools,5,623,1,Roseville Public School District
23-24,16,1,Spring Lake Park Public Schools,18,625,1,Saint Paul Public Schools
23-24,16,1,Spring Lake Park Public Schools,7,728,1,Elk River Public School District
23-24,16,1,Spring Lake Park Public Schools,15,831,1,Forest Lake Public School District
23-24,16,1,Spring Lake Park Public Schools,2,832,1,Mahtomedi Public School District
23-24,16,1,Spring Lake Park Public Schools,1,861,1,Winona Area Public School District
23-24,16,1,Spring Lake Park Public Schools,19,911,1,Cambridge-Isanti Public School District
23-24,22,1,Detroit Lakes Public School District,148,23,1,Frazee-Vergas Public School District
23-24,22,1,Detroit Lakes Public School District,1,25,1,Pine Point Public School District
23-24,22,1,Detroit Lakes Public School District,6,150,1,Hawley Public School District
23-24,22,1,Detroit Lakes Public School District,3,309,1,Park Rapids Public School District
23-24,22,1,Detroit Lakes Public School District,17,435,1,Waubun-Ogema-White Earth Schools
23-24,22,1,Detroit Lakes Public School District,32,548,1,Pelican Rapids Public School District
23-24,22,1,Detroit Lakes Public School District,24,549,1,Perham-Dent Public School District
23-24,22,1,Detroit Lakes Public School District,3,553,1,New York Mills Public School District
23-24,22,1,Detroit Lakes Public School District,1,846,1,Breckenridge Public School District
23-24,22,1,Detroit Lakes Public School District,1,2609,1,Win-E-Mac School District
23-24,22,1,Detroit Lakes Public School District,107,2889,1,Lake Park Audubon School District
23-24,23,1,Frazee-Vergas Public School District,72,22,1,Detroit Lakes Public School District
23-24,23,1,Frazee-Vergas Public School District,1,31,1,Bemidji Public School District
23-24,23,1,Frazee-Vergas Public School District,1,309,1,Park Rapids Public School District
23-24,23,1,Frazee-Vergas Public School District,3,548,1,Pelican Rapids Public School District
23-24,23,1,Frazee-Vergas Public School District,50,549,1,Perham-Dent Public School District
23-24,23,1,Frazee-Vergas Public School District,3,550,1,Underwood Public School District
23-24,23,1,Frazee-Vergas Public School District,1,553,1,New York Mills Public School District
23-24,23,1,Frazee-Vergas Public School District,4,821,1,Menahga Public School District
23-24,25,1,Pine Point Public School District,1,309,1,Park Rapids Public School District
23-24,31,1,Bemidji Public School District,45,32,1,Blackduck Public School District
23-24,31,1,Bemidji Public School District,59,38,1,Red Lake Public School District
23-24,31,1,Bemidji Public School District,4,113,1,Walker-Hackensack-Akeley School District
23-24,31,1,Bemidji Public School District,76,115,1,Cass Lake-Bena Public Schools
23-24,31,1,Bemidji Public School District,1,118,1,Northland Community Schools
23-24,31,1,Bemidji Public School District,28,162,1,Bagley Public School District
23-24,31,1,Bemidji Public School District,22,306,1,Laporte Public School District
23-24,31,1,Bemidji Public School District,5,309,1,Park Rapids Public School District
23-24,31,1,Bemidji Public School District,2,363,1,South Koochiching School District
23-24,31,1,Bemidji Public School District,1,435,1,Waubun-Ogema-White Earth Schools
23-24,31,1,Bemidji Public School District,4,2311,1,Clearbrook-Gonvick School District
23-24,32,1,Blackduck Public School District,118,31,1,Bemidji Public School District
23-24,32,1,Blackduck Public School District,25,36,1,Kelliher Public School District
23-24,32,1,Blackduck Public School District,35,38,1,Red Lake Public School District
23-24,32,1,Blackduck Public School District,35,318,1,Grand Rapids Public School District
23-24,32,1,Blackduck Public School District,3,363,1,South Koochiching School District
23-24,36,1,Kelliher Public School District,1,31,1,Bemidji Public School District
23-24,36,1,Kelliher Public School District,4,32,1,Blackduck Public School District
23-24,36,1,Kelliher Public School District,69,38,1,Red Lake Public School District
23-24,36,1,Kelliher Public School District,1,115,1,Cass Lake-Bena Public Schools
23-24,36,1,Kelliher Public School District,11,363,1,South Koochiching School District
23-24,38,1,Red Lake Public School District,8,31,1,Bemidji Public School District
23-24,47,1,Sauk Rapids-Rice Public Schools,34,51,1,Foley Public School District
23-24,47,1,Sauk Rapids-Rice Public Schools,1,279,1,Osseo Public School District
23-24,47,1,Sauk Rapids-Rice Public Schools,2,477,1,Princeton Public School District
23-24,47,1,Sauk Rapids-Rice Public Schools,7,482,1,Little Falls Community Schools
23-24,47,1,Sauk Rapids-Rice Public Schools,1,485,1,Royalton Public School District
23-24,47,1,Sauk Rapids-Rice Public Schools,6,726,1,Becker Public School District
23-24,47,1,Sauk Rapids-Rice Public Schools,3,738,1,Holdingford Public School District
23-24,47,1,Sauk Rapids-Rice Public Schools,1,739,1,Kimball Public School District
23-24,47,1,Sauk Rapids-Rice Public Schools,1,741,1,Paynesville Area Schools
23-24,47,1,Sauk Rapids-Rice Public Schools,667,742,1,St. Cloud Public School District
23-24,47,1,Sauk Rapids-Rice Public Schools,1,745,1,Albany Public School District
23-24,47,1,Sauk Rapids-Rice Public Schools,54,748,1,Sartell-St. Stephen School District
23-24,47,1,Sauk Rapids-Rice Public Schools,3,750,1,ROCORI Public School District
23-24,51,1,Foley Public School District,60,47,1,Sauk Rapids-Rice Public Schools
23-24,51,1,Foley Public School District,1,181,1,Brainerd Public School District
23-24,51,1,Foley Public School District,25,477,1,Princeton Public School District
23-24,51,1,Foley Public School District,1,482,1,Little Falls Community Schools
23-24,51,1,Foley Public School District,11,485,1,Royalton Public School District
23-24,51,1,Foley Public School District,26,726,1,Becker Public School District
23-24,51,1,Foley Public School District,1,728,1,Elk River Public School District
23-24,51,1,Foley Public School District,109,742,1,St. Cloud Public School District
23-24,51,1,Foley Public School District,1,745,1,Albany Public School District
23-24,51,1,Foley Public School District,5,748,1,Sartell-St. Stephen School District
23-24,51,1,Foley Public School District,1,885,1,St. Michael-Albertville School District
23-24,51,1,Foley Public School District,165,912,1,Milaca Public School District
23-24,75,1,St. Clair Public School District,271,77,1,Mankato Public School District
23-24,75,1,St. Clair Public School District,1,391,1,Cleveland Public School District
23-24,75,1,St. Clair Public School District,1,508,1,St. Peter Public School District
23-24,75,1,St. Clair Public School District,6,2071,1,Lake Crystal-Wellcome Memorial
23-24,75,1,St. Clair Public School District,31,2135,1,Maple River School District
23-24,75,1,St. Clair Public School District,76,2835,1,Janesville-Waldorf-Pemberton
23-24,77,1,Mankato Public School District,43,75,1,St. Clair Public School District
23-24,77,1,Mankato Public School District,9,88,1,New Ulm Public School District
23-24,77,1,Mankato Public School District,22,391,1,Cleveland Public School District
23-24,77,1,Mankato Public School District,2,458,1,Truman Public School District
23-24,77,1,Mankato Public School District,1,492,1,Austin Public School District
23-24,77,1,Mankato Public School District,20,507,1,Nicollet Public School District
23-24,77,1,Mankato Public School District,40,508,1,St. Peter Public School District
23-24,77,1,Mankato Public School District,1,720,1,Shakopee Public School District
23-24,77,1,Mankato Public School District,6,829,1,Waseca Public School District
23-24,77,1,Mankato Public School District,3,837,1,Madelia Public School District
23-24,77,1,Mankato Public School District,2,840,1,St. James Public School District
23-24,77,1,Mankato Public School District,98,2071,1,Lake Crystal-Wellcome Memorial
23-24,77,1,Mankato Public School District,33,2135,1,Maple River School District
23-24,77,1,Mankato Public School District,6,2143,1,Waterville-Elysian-Morristown Public School District
23-24,77,1,Mankato Public School District,4,2310,1,Sibley East School District
23-24,77,1,Mankato Public School District,1,2397,1,Le Sueur-Henderson School District
23-24,77,1,Mankato Public School District,27,2835,1,Janesville-Waldorf-Pemberton
23-24,81,1,Comfrey Public School District,5,84,1,Sleepy Eye Public School District
23-24,81,1,Comfrey Public School District,9,85,1,Springfield Public School District
23-24,81,1,Comfrey Public School District,6,173,1,Mountain Lake Public Schools
23-24,81,1,Comfrey Public School District,2,2884,1,Red Rock Central School District
23-24,84,1,Sleepy Eye Public School District,11,81,1,Comfrey Public School District
23-24,84,1,Sleepy Eye Public School District,17,85,1,Springfield Public School District
23-24,84,1,Sleepy Eye Public School District,9,88,1,New Ulm Public School District
23-24,84,1,Sleepy Eye Public School District,2,840,1,St. James Public School District
23-24,84,1,Sleepy Eye Public School District,21,2365,1,GFW Public Schools
23-24,84,1,Sleepy Eye Public School District,1,2534,1,Bird Island-Olivia-Lake Lillian Public School District
23-24,84,1,Sleepy Eye Public School District,6,2754,1,Cedar Mountain School District
23-24,85,1,Springfield Public School District,37,81,1,Comfrey Public School District
23-24,85,1,Springfield Public School District,12,84,1,Sleepy Eye Public School District
23-24,85,1,Springfield Public School District,1,330,1,Heron Lake-Okabena School District
23-24,85,1,Springfield Public School District,3,640,1,Wabasso Public School District
23-24,85,1,Springfield Public School District,24,2754,1,Cedar Mountain School District
23-24,85,1,Springfield Public School District,41,2884,1,Red Rock Central School District
23-24,88,1,New Ulm Public School District,30,84,1,Sleepy Eye Public School District
23-24,88,1,New Ulm Public School District,3,85,1,Springfield Public School District
23-24,88,1,New Ulm Public School District,9,507,1,Nicollet Public School District
23-24,88,1,New Ulm Public School District,1,508,1,St. Peter Public School District
23-24,88,1,New Ulm Public School District,2,640,1,Wabasso Public School District
23-24,88,1,New Ulm Public School District,8,837,1,Madelia Public School District
23-24,88,1,New Ulm Public School District,2,2071,1,Lake Crystal-Wellcome Memorial
23-24,88,1,New Ulm Public School District,79,2365,1,GFW Public Schools
23-24,88,1,New Ulm Public School District,2,2754,1,Cedar Mountain School District
23-24,88,1,New Ulm Public School District,1,2835,1,Janesville-Waldorf-Pemberton
23-24,91,1,Barnum Public School District,1,4,1,McGregor Public School District
23-24,91,1,Barnum Public School District,38,93,1,Carlton Public School District
23-24,91,1,Barnum Public School District,9,94,1,Cloquet Public School District
23-24,91,1,Barnum Public School District,2,95,1,Cromwell-Wright Public Schools
23-24,91,1,Barnum Public School District,90,97,1,Moose Lake Public School District
23-24,91,1,Barnum Public School District,5,100,1,Wrenshall Public School District
23-24,91,1,Barnum Public School District,12,577,1,Willow River Public School District
23-24,91,1,Barnum Public School District,4,709,1,Duluth Public School District
23-24,91,1,Barnum Public School District,1,2165,1,Hinckley-Finlayson School District
23-24,91,1,Barnum Public School District,8,2580,1,East Central School District
23-24,93,1,Carlton Public School District,8,91,1,Barnum Public School District
23-24,93,1,Carlton Public School District,47,94,1,Cloquet Public School District
23-24,93,1,Carlton Public School District,1,99,1,Esko Public School District
23-24,93,1,Carlton Public School District,15,100,1,Wrenshall Public School District
23-24,93,1,Carlton Public School District,1,704,1,Proctor Public School District
23-24,93,1,Carlton Public School District,1,709,1,Duluth Public School District
23-24,93,1,Carlton Public School District,1,2142,1,St. Louis County School District
23-24,94,1,Cloquet Public School District,20,91,1,Barnum Public School District
23-24,94,1,Cloquet Public School District,155,93,1,Carlton Public School District
23-24,94,1,Cloquet Public School District,5,95,1,Cromwell-Wright Public Schools
23-24,94,1,Cloquet Public School District,1,97,1,Moose Lake Public School District
23-24,94,1,Cloquet Public School District,30,99,1,Esko Public School District
23-24,94,1,Cloquet Public School District,33,100,1,Wrenshall Public School District
23-24,94,1,Cloquet Public School District,1,698,1,Floodwood Public School District
23-24,94,1,Cloquet Public School District,2,700,1,Hermantown Community Schools
23-24,94,1,Cloquet Public School District,21,704,1,Proctor Public School District
23-24,94,1,Cloquet Public School District,14,709,1,Duluth Public School District
23-24,94,1,Cloquet Public School District,43,2142,1,St. Louis County School District
23-24,95,1,Cromwell-Wright Public Schools,1,1,1,Aitkin Public School District
23-24,95,1,Cromwell-Wright Public Schools,14,4,1,McGregor Public School District
23-24,95,1,Cromwell-Wright Public Schools,8,91,1,Barnum Public School District
23-24,95,1,Cromwell-Wright Public Schools,16,93,1,Carlton Public School District
23-24,95,1,Cromwell-Wright Public Schools,1,94,1,Cloquet Public School District
23-24,95,1,Cromwell-Wright Public Schools,5,97,1,Moose Lake Public School District
23-24,95,1,Cromwell-Wright Public Schools,16,698,1,Floodwood Public School District
23-24,95,1,Cromwell-Wright Public Schools,1,709,1,Duluth Public School District
23-24,95,1,Cromwell-Wright Public Schools,1,2142,1,St. Louis County School District
23-24,97,1,Moose Lake Public School District,2,4,1,McGregor Public School District
23-24,97,1,Moose Lake Public School District,20,91,1,Barnum Public School District
23-24,97,1,Moose Lake Public School District,1,94,1,Cloquet Public School District
23-24,97,1,Moose Lake Public School District,7,95,1,Cromwell-Wright Public Schools
23-24,97,1,Moose Lake Public School District,7,100,1,Wrenshall Public School District
23-24,97,1,Moose Lake Public School District,83,577,1,Willow River Public School District
23-24,97,1,Moose Lake Public School District,2,709,1,Duluth Public School District
23-24,97,1,Moose Lake Public School District,40,2580,1,East Central School District
23-24,99,1,Esko Public School District,7,91,1,Barnum Public School District
23-24,99,1,Esko Public School District,49,93,1,Carlton Public School District
23-24,99,1,Esko Public School District,115,94,1,Cloquet Public School District
23-24,99,1,Esko Public School District,5,97,1,Moose Lake Public School District
23-24,99,1,Esko Public School District,14,100,1,Wrenshall Public School District
23-24,99,1,Esko Public School District,4,700,1,Hermantown Community Schools
23-24,99,1,Esko Public School District,61,704,1,Proctor Public School District
23-24,99,1,Esko Public School District,31,709,1,Duluth Public School District
23-24,99,1,Esko Public School District,5,2142,1,St. Louis County School District
23-24,100,1,Wrenshall Public School District,2,91,1,Barnum Public School District
23-24,100,1,Wrenshall Public School District,33,93,1,Carlton Public School District
23-24,100,1,Wrenshall Public School District,29,94,1,Cloquet Public School District
23-24,100,1,Wrenshall Public School District,2,97,1,Moose Lake Public School District
23-24,100,1,Wrenshall Public School District,2,99,1,Esko Public School District
